Sample,Strain,Species,mBiofilmOD,sdBiofilmOD,mPlanktonicOD,sdPlanktonicOD
315-A.1A1.A,315-A,Gardnerella vaginalis,0.14160416666666667,0.0192180470738661,0.14345833333333333,0.024879710609249452
315-A.1A1.B,315-A,Gardnerella vaginalis,0.24460416666666668,0.03707200201409864,0.14845833333333333,0.02563201123595259
315-A.1A2.A,315-A,Gardnerella vaginalis,0.23227083333333334,0.005567764362829997,0.11979166666666666,0.013503086067019394
315-A.1A2.B,315-A,Gardnerella vaginalis,0.3159375,0.007505553499465142,0.149125,0.010692676621563637
AMD.2A1.A,AMD,Gardnerella leopoldii,0.28427083333333336,0.026514147167125704,0.14479166666666665,0.008326663997864537
AMD.2A2.A,AMD,Gardnerella leopoldii,0.2489375,0.02893671255228095,0.05812500000000001,0.01929594085120841
AMD.2A2.B,AMD,Gardnerella leopoldii,0.26327083333333334,0.027838821814150105,0.06012500000000001,0.017039170558842746
C0011E4.1A1.A,C0011E4,Gardnerella vaginalis,0.08393750000000001,0.007023769168568484,0.168125,0.027754879450888146
C0011E4.1A1.B,C0011E4,Gardnerella vaginalis,0.1606041666666667,0.056959049617539566,0.088125,0.0032145502536643214
C0011E4.1A2.A,C0011E4,Gardnerella vaginalis,0.1049375,0.0020816659994661343,0.09379166666666666,0.009291573243177566
C0011E4.1A2.B,C0011E4,Gardnerella vaginalis,0.12360416666666667,0.006429100507328626,0.106125,0.028023799409311597
C0040C2.1AB3.A,C0040C2,Gardnerella pickettii,0.4716041666666667,0.006658328118479399,0.016458333333333335,0.009000000000000001
C0040C2.1AB3.B,C0040C2,Gardnerella pickettii,0.48660416666666667,0.026083200212652775,0.010458333333333333,0.0034641016151377574
C0040C2.1B1.A,C0040C2,Gardnerella pickettii,0.4419375,0.0050332229568471705,0.009125000000000003,0.0028867513459481273
C0040C2.1B1.B,C0040C2,Gardnerella pickettii,0.4446041666666667,0.015044378795195691,0.007125000000000004,5.773502691896263e-4
C0040C2.1B2.A,C0040C2,Gardnerella pickettii,0.4696041666666667,0.005773502691896263,0.007791666666666669,5.773502691896223e-4
C0040C2.1B2.B,C0040C2,Gardnerella pickettii,0.4626041666666667,0.010598742063723106,0.018458333333333334,0.012529964086141666
C0056B5.1B1.A,C0056B5,Gardnerella greenwoodii,0.15027083333333335,0.029597297173897478,0.011791666666666667,0.0035118845842842497
C0056B5.1B1.B,C0056B5,Gardnerella greenwoodii,0.3856041666666667,0.08499607834090545,0.04545833333333334,0.027000000000000007
C0056B5.1B2.A,C0056B5,Gardnerella greenwoodii,0.22727083333333334,0.023515952032609685,0.021125,0.012055427546683418
C0056B5.1B2.B,C0056B5,Gardnerella greenwoodii,0.25627083333333334,0.006557438524302007,0.03945833333333334,0.026664583251946775
C0084H9.3A1.A,C0084H9,Gardnerella lacydonensis,0.1326041666666667,0.011590225767142468,0.03145833333333334,0.005291502622129178
C0084H9.3A1.B,C0084H9,Gardnerella lacydonensis,0.20760416666666667,0.014640127503998512,0.025125000000000005,0.0011547005383792527
C0084H9.3A2.A,C0084H9,Gardnerella lacydonensis,0.09693750000000001,0.012662279942148382,0.18745833333333334,0.019000000000000003
C0084H9.3A2.B,C0084H9,Gardnerella lacydonensis,0.06860416666666667,0.008020806277010647,0.16979166666666665,0.00802080627701065
C0084H9.3A3.A,C0084H9,Gardnerella lacydonensis,0.06593750000000001,0.010408329997330669,0.16645833333333332,0.020074859899884737
C0084H9.3A3.B,C0084H9,Gardnerella lacydonensis,0.08193750000000001,0.0077674534651540365,0.127125,0.02540341184434354
C0093B3.3A1.A,C0093B3,Gardnerella piotii,0.1589375,0.022744962812309293,0.136125,0.013650396819628844
