Sample,Strain,Species,maxOD,maxODsd
C0084H9.3A1.A,C0084H9,Gardnerella lacydonensis,0.5305625,0.017926208699369
C0084H9.3A2.A,C0084H9,Gardnerella lacydonensis,0.553,0.029473151624260775
AMD.2A1.A,AMD,Gardnerella leopoldii,0.39825,0.06917038142634944
AMD.2A2.A,AMD,Gardnerella leopoldii,0.37749999999999995,0.002629955639676586
C0040C2.1B1.A,C0040C2,Gardnerella pickettii,0.45075,0.026286878856189803
C0040C2.1B2.A,C0040C2,Gardnerella pickettii,0.46499999999999997,0.03956376709397962
C0084H9.3A1.B,C0084H9,Gardnerella lacydonensis,0.621375,0.018286493193976114
C0084H9.3A2.B,C0084H9,Gardnerella lacydonensis,0.7213125,0.051188530209413156
AMD.2A1.B,AMD,Gardnerella leopoldii,0.3694375,0.027286577133577367
AMD.2A2.B,AMD,Gardnerella leopoldii,0.4575,0.032915295330084235
C0040C2.1B1.B,C0040C2,Gardnerella pickettii,0.5085,0.04836923953643817
C0040C2.1B2.B,C0040C2,Gardnerella pickettii,0.482625,0.028361872881270254
C0056B5.1B1.A,C0056B5,Gardnerella greenwoodii,0.4235,0.12329470115675421
C0056B5.1B2.A,C0056B5,Gardnerella greenwoodii,0.41662499999999997,0.11749831559076349
C0096A1.2A1.A,C0096A1,Gardnerella leopoldii,0.5335,0.028011902232205985
C0096A1.2A2.A,C0096A1,Gardnerella leopoldii,0.4300625,0.14889948721089227
C0101A1.3A1.A,C0101A1,Gardnerella sp. 11,0.527875,0.018979704072157374
C0101A1.3A2.A,C0101A1,Gardnerella sp. 11,0.5391875,0.03056644061166867
315-A.1A1.A,315-A,Gardnerella vaginalis,0.41975,0.009041570660012578
315-A.1A2.A,315-A,Gardnerella vaginalis,0.4815,0.021213203435596382
C0056B5.1B1.B,C0056B5,Gardnerella greenwoodii,0.518,0.14576779479706756
C0056B5.1B2.B,C0056B5,Gardnerella greenwoodii,0.48575,0.08232203026326951
C0096A1.2A1.B,C0096A1,Gardnerella leopoldii,0.5213125,0.05536860384429671
C0101A1.3A1.B,C0101A1,Gardnerella sp. 11,0.57475,0.011026483271348737
