Sample,Strain,Species,MIC,Notes
Gv5-1.20230708.A,Gv5-1,Gardnerella swidsinskii,>256,NA
Gv5-1.20230708.B,Gv5-1,Gardnerella swidsinskii,>256,NA
C0102A2.20230708.A,C0102A2,Gardnerella swidsinskii,>256,NA
C0102A2.20230708.B,C0102A2,Gardnerella swidsinskii,>256,NA
315-A.20230708.A,315-A,Gardnerella vaginalis,48,NA
315-A.20230708.B,315-A,Gardnerella vaginalis,48,NA
JCP8066.20230708.A,JCP8066,Gardnerella piotii,>256,NA
JCP8066.20230708.B,JCP8066,Gardnerella piotii,>256,NA
JCP8017B.20230708.A,JCP8017B,Gardnerella pickettii,hard to read,NA
JCP8017B.20230708.B,JCP8017B,Gardnerella pickettii,hard to read,NA
14018.20230708.A,14018,Gardnerella vaginalis,16,NA
14018.20230708.B,14018,Gardnerella vaginalis,12,NA
AMD.20230708.A,AMD,Gardnerella leopoldii,>256,NA
AMD.20230708.B,AMD,Gardnerella leopoldii,>256,NA
C0040C2.20230708.A,C0040C2,Gardnerella pickettii,>256,NA
C0040C2.20230708.B,C0040C2,Gardnerella pickettii,>256,NA
C0056B5.20230708.A,C0056B5,Gardnerella greenwoodii,>256,NA
C0056B5.20230708.B,C0056B5,Gardnerella greenwoodii,>256,NA
JCP8108.20230708.A,JCP8108,Gardnerella lacydonensis,16,No lawn at 16 but colonies throughout
JCP8108.20230708.B,JCP8108,Gardnerella lacydonensis,16,No lawn at 16 but colonies throughout
UM224.20230708.A,UM224,Gardnerella swidsinskii,>256,NA
UM224.20230708.B,UM224,Gardnerella swidsinskii,>256,NA
Gv101.20230708.A,Gv101,Gardnerella greenwoodii,>256,NA
Gv101.20230708.B,Gv101,Gardnerella greenwoodii,>256,NA
C0179B4.20230708.A,C0179B4,Gardnerella sp. 7,>256,NA
C0179B4.20230708.B,C0179B4,Gardnerella sp. 7,>256,NA
JCP7275.20230708.A,JCP7275,Gardnerella lacydonensis,>256,NA
JCP7275.20230708.B,JCP7275,Gardnerella lacydonensis,>256,NA
CMW7778B.20230708.A,CMW7778B,Gardnerella sp. 12,48,NA
CMW7778B.20230708.B,CMW7778B,Gardnerella sp. 12,48,NA
UM35.20230708.A,UM35,Gardnerella piotii,>256,NA
UM35.20230708.B,UM35,Gardnerella piotii,>256,NA
C0093B3.20230708.A,C0093B3,Gardnerella piotii,>256,NA
C0093B3.20230708.B,C0093B3,Gardnerella piotii,>256,NA
C0101A1.20230708.A,C0101A1,Gardnerella sp. 11,>256,NA
C0101A1.20230708.B,C0101A1,Gardnerella sp. 11,>256,NA
315-A.20230711.A,315-A,Gardnerella vaginalis,48,NA
315-A.20230711.B,315-A,Gardnerella vaginalis,32,NA
Gv5-1.20230711.A,Gv5-1,Gardnerella swidsinskii,too streaky to read,NA
Gv5-1.20230711.B,Gv5-1,Gardnerella swidsinskii,too streaky to read,NA
C0102A2.20230711.A,C0102A2,Gardnerella swidsinskii,>256,NA
C0102A2.20230711.B,C0102A2,Gardnerella swidsinskii,too streaky to read,NA
JCP8017B.20230711.A,JCP8017B,Gardnerella pickettii,16,NA
JCP8017B.20230711.B,JCP8017B,Gardnerella pickettii,hard to read,NA
UM224.20230711.A,UM224,Gardnerella swidsinskii,>256,NA
UM224.20230711.B,UM224,Gardnerella swidsinskii,>256,NA
JCP8066.20230711.A,JCP8066,Gardnerella piotii,>256,NA
JCP8066.20230711.B,JCP8066,Gardnerella piotii,>256,NA
C0040C2.20230711.A,C0040C2,Gardnerella pickettii,>256,NA
C0040C2.20230711.B,C0040C2,Gardnerella pickettii,>256,NA
C0056B5.20230711.A,C0056B5,Gardnerella greenwoodii,>256,NA
C0056B5.20230711.B,C0056B5,Gardnerella greenwoodii,>256,NA
14018.20230711.A,14018,Gardnerella vaginalis,24,NA
14018.20230711.B,14018,Gardnerella vaginalis,24,NA
AMD.20230711.A,AMD,Gardnerella leopoldii,>256,NA
AMD.20230711.B,AMD,Gardnerella leopoldii,>256,NA
C0179B4.20230711.A,C0179B4,Gardnerella sp. 7,>256,NA
C0179B4.20230711.B,C0179B4,Gardnerella sp. 7,>256,NA
JCP8108.20230711.A,JCP8108,Gardnerella lacydonensis,24,no lawn at 24+ but colonies throughout
JCP8108.20230711.B,JCP8108,Gardnerella lacydonensis,too streaky to read,NA
