Strain,Number,BioRep,TechRep,MIC,Notes
Gv5-1,1,20230708,A,>256,NA
C0100B2,1,20230708,A,>256,NA
Gv5-1,1,20230708,A,>256,NA
C0100B2,1,20230708,A,>256,NA
C0100B2,1,20230708,A,>256,NA
Gv5-1,1,20230708,B,>256,NA
C0100B2,1,20230708,B,>256,NA
Gv5-1,1,20230708,B,>256,NA
C0100B2,1,20230708,B,>256,NA
C0100B2,1,20230708,B,>256,NA
C0102A2,2,20230708,A,>256,NA
315-A,2,20230708,A,>256,NA
C0102A2,2,20230708,A,>256,NA
C0011E4,2,20230708,A,>256,NA
C0100B2,2,20230708,A,>256,NA
C0102A2,2,20230708,B,>256,NA
315-A,2,20230708,B,>256,NA
C0102A2,2,20230708,B,>256,NA
C0011E4,2,20230708,B,>256,NA
C0100B2,2,20230708,B,>256,NA
315-A,4,20230708,A,48,NA
C0102A2,4,20230708,A,48,NA
C0011E4,4,20230708,A,48,NA
C0084H9,4,20230708,A,48,NA
C0096A1,4,20230708,A,48,NA
315-A,4,20230708,B,48,NA
C0102A2,4,20230708,B,48,NA
C0011E4,4,20230708,B,48,NA
C0084H9,4,20230708,B,48,NA
C0096A1,4,20230708,B,48,NA
JCP8066,7,20230708,A,>256,NA
UM224,7,20230708,A,>256,NA
JCP8108,7,20230708,A,>256,NA
UM35,7,20230708,A,>256,NA
JCP8066,7,20230708,B,>256,NA
UM224,7,20230708,B,>256,NA
JCP8108,7,20230708,B,>256,NA
UM35,7,20230708,B,>256,NA
JCP8017B,8,20230708,A,hard to read,NA
JCP8066,8,20230708,A,hard to read,NA
C0101A1,8,20230708,A,hard to read,NA
UM35,8,20230708,A,hard to read,NA
JCP8017B,8,20230708,B,hard to read,NA
JCP8066,8,20230708,B,hard to read,NA
C0101A1,8,20230708,B,hard to read,NA
UM35,8,20230708,B,hard to read,NA
14018,9,20230708,A,16,NA
C0040C2,9,20230708,A,16,NA
C0084H9,9,20230708,A,16,NA
C0084H9,9,20230708,A,16,NA
14018,9,20230708,B,12,NA
C0040C2,9,20230708,B,12,NA
C0084H9,9,20230708,B,12,NA
C0084H9,9,20230708,B,12,NA
AMD,10,20230708,A,>256,NA
C0056B5,10,20230708,A,>256,NA
C0101A1,10,20230708,A,>256,NA
AMD,10,20230708,B,>256,NA
C0056B5,10,20230708,B,>256,NA
C0101A1,10,20230708,B,>256,NA
C0040C2,11,20230708,A,>256,NA
14018,11,20230708,A,>256,NA
C0040C2,11,20230708,B,>256,NA
14018,11,20230708,B,>256,NA
C0056B5,12,20230708,A,>256,NA
AMD,12,20230708,A,>256,NA
C0056B5,12,20230708,B,>256,NA
AMD,12,20230708,B,>256,NA
JCP8108,17,20230708,A,16,No lawn at 16 but colonies throughout
JCP8108,17,20230708,A,16,No lawn at 16 but colonies throughout
JCP8108,17,20230708,B,16,No lawn at 16 but colonies throughout
JCP8108,17,20230708,B,16,No lawn at 16 but colonies throughout
UM224,6,20230708,A,>256,NA
C0011E4,6,20230708,A,>256,NA
C0096A1,6,20230708,A,>256,NA
JCP7275,6,20230708,A,>256,NA
UM224,6,20230708,B,>256,NA
C0011E4,6,20230708,B,>256,NA
C0096A1,6,20230708,B,>256,NA
JCP7275,6,20230708,B,>256,NA
Gv101,13,20230708,A,>256,NA
C0179B4,13,20230708,A,>256,NA
Gv101,13,20230708,B,>256,NA
C0179B4,13,20230708,B,>256,NA
C0179B4,14,20230708,A,>256,NA
Gv101,14,20230708,A,>256,NA
C0179B4,14,20230708,B,>256,NA
Gv101,14,20230708,B,>256,NA
JCP7275,16,20230708,A,>256,NA
JCP7275,16,20230708,A,>256,NA
JCP7275,16,20230708,B,>256,NA
JCP7275,16,20230708,B,>256,NA
CMW7778B,18,20230708,A,48,NA
CMW7778B,18,20230708,A,48,NA
CMW7778B,18,20230708,B,48,NA
CMW7778B,18,20230708,B,48,NA
UM35,19,20230708,A,>256,NA
C0101A1,19,20230708,A,>256,NA
UM35,19,20230708,B,>256,NA
C0101A1,19,20230708,B,>256,NA
C0093B3,20,20230708,A,>256,NA
C0084H9,20,20230708,A,>256,NA
C0093B3,20,20230708,B,>256,NA
C0084H9,20,20230708,B,>256,NA
C0101A1,22,20230708,A,>256,NA
UM35,22,20230708,A,>256,NA
C0101A1,22,20230708,B,>256,NA
UM35,22,20230708,B,>256,NA
C0102A2,2,20230711,A,48,NA
315-A,2,20230711,A,48,NA
C0102A2,2,20230711,A,48,NA
C0011E4,2,20230711,A,48,NA
C0100B2,2,20230711,A,48,NA
C0102A2,2,20230711,B,32,NA
315-A,2,20230711,B,32,NA
C0102A2,2,20230711,B,32,NA
C0011E4,2,20230711,B,32,NA
C0100B2,2,20230711,B,32,NA
C0100B2,3,20230711,A,too streaky to read,NA
Gv5-1,3,20230711,A,too streaky to read,NA
C0100B2,3,20230711,A,too streaky to read,NA
C0096A1,3,20230711,A,too streaky to read,NA
C0011E4,3,20230711,A,too streaky to read,NA
C0100B2,3,20230711,B,too streaky to read,NA
Gv5-1,3,20230711,B,too streaky to read,NA
C0100B2,3,20230711,B,too streaky to read,NA
C0096A1,3,20230711,B,too streaky to read,NA
C0011E4,3,20230711,B,too streaky to read,NA
315-A,4,20230711,A,>256,NA
C0102A2,4,20230711,A,>256,NA
C0011E4,4,20230711,A,>256,NA
C0084H9,4,20230711,A,>256,NA
C0096A1,4,20230711,A,>256,NA
315-A,4,20230711,B,too streaky to read,NA
C0102A2,4,20230711,B,too streaky to read,NA
C0011E4,4,20230711,B,too streaky to read,NA
C0084H9,4,20230711,B,too streaky to read,NA
C0096A1,4,20230711,B,too streaky to read,NA
C0011E4,5,20230711,A,16,NA
JCP8017B,5,20230711,A,16,NA
JCP8017B,5,20230711,A,16,NA
C0101A1,5,20230711,A,16,NA
JCP7275,5,20230711,A,16,NA
C0011E4,5,20230711,B,hard to read,NA
JCP8017B,5,20230711,B,hard to read,NA
JCP8017B,5,20230711,B,hard to read,NA
C0101A1,5,20230711,B,hard to read,NA
JCP7275,5,20230711,B,hard to read,NA
JCP8066,7,20230711,A,>256,NA
UM224,7,20230711,A,>256,NA
JCP8108,7,20230711,A,>256,NA
UM35,7,20230711,A,>256,NA
JCP8066,7,20230711,B,>256,NA
UM224,7,20230711,B,>256,NA
JCP8108,7,20230711,B,>256,NA
UM35,7,20230711,B,>256,NA
JCP8017B,8,20230711,A,>256,NA
JCP8066,8,20230711,A,>256,NA
C0101A1,8,20230711,A,>256,NA
UM35,8,20230711,A,>256,NA
JCP8017B,8,20230711,B,>256,NA
JCP8066,8,20230711,B,>256,NA
C0101A1,8,20230711,B,>256,NA
UM35,8,20230711,B,>256,NA
14018,9,20230711,A,>256,NA
C0040C2,9,20230711,A,>256,NA
C0084H9,9,20230711,A,>256,NA
C0084H9,9,20230711,A,>256,NA
14018,9,20230711,B,>256,NA
C0040C2,9,20230711,B,>256,NA
C0084H9,9,20230711,B,>256,NA
C0084H9,9,20230711,B,>256,NA
AMD,10,20230711,A,>256,NA
C0056B5,10,20230711,A,>256,NA
C0101A1,10,20230711,A,>256,NA
AMD,10,20230711,B,>256,NA
C0056B5,10,20230711,B,>256,NA
C0101A1,10,20230711,B,>256,NA
C0040C2,11,20230711,A,24,NA
14018,11,20230711,A,24,NA
C0040C2,11,20230711,B,24,NA
14018,11,20230711,B,24,NA
C0056B5,12,20230711,A,>256,NA
AMD,12,20230711,A,>256,NA
C0056B5,12,20230711,B,>256,NA
AMD,12,20230711,B,>256,NA
Gv101,13,20230711,A,>256,NA
C0179B4,13,20230711,A,>256,NA
Gv101,13,20230711,B,>256,NA
C0179B4,13,20230711,B,>256,NA
JCP8108,17,20230711,A,24,no lawn at 24+ but colonies throughout
JCP8108,17,20230711,A,24,no lawn at 24+ but colonies throughout
JCP8108,17,20230711,B,too streaky to read,NA
JCP8108,17,20230711,B,too streaky to read,NA
CMW7778B,18,20230711,A,16,NA
CMW7778B,18,20230711,A,16,NA
CMW7778B,18,20230711,B,16,NA
CMW7778B,18,20230711,B,16,NA
C0179B4,14,20230711,A,>256,NA
Gv101,14,20230711,A,>256,NA
C0179B4,14,20230711,B,>256,NA
